celiac_test_type_sum,prior_testing,,text,Type of testing for celiac disease,,,,,,,[lab_tests_performed(17)] = '1' and [celiac_sum_bool]='1'
celiac_sum_units,prior_testing,,text,Celiac disease range units,,,,,,,[lab_tests_performed(17)] = '1' and [celiac_sum_bool]='1'
celiac_sum,prior_testing,,text,Celiac disease range,,,,,,,[lab_tests_performed(17)] = '1' and [celiac_sum_bool]='1'
celiac_sum_minimum,prior_testing,,text,Celiac disease range minimum,,,,,,,[lab_tests_performed(17)] = '1' and [celiac_sum_bool]='1'
celiac_sum_maximum,prior_testing,,text,Celiac disease range maximum,,,,,,,[lab_tests_performed(17)] = '1' and [celiac_sum_bool]='1'
celiac_comments,prior_testing,,notes,"Celiac disease test range result comment (quality concerns, normal range)",,,,,,,[lab_tests_performed(17)] = '1' and [celiac_sum_bool]='1'
celiac_datapoints,prior_testing,,yesno,Would you like to enter individual Celiac disease test results?,,,,,,,[lab_tests_performed(17)] = '1'
celiac_disease_test_group_no,prior_testing,,text,How many celiac disease tests would you like to enter (up to 3)?,,,,,,,[celiac_datapoints]='1'
celiac_date1,prior_testing,,text,Year of 1st Celiac disease test,,Please specify four digit year,,,,,([celiac_datapoints]='1') and [celiac_disease_test_group_no]>=1
celiac1,prior_testing,,radio,1st Celiac disease test result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([celiac_datapoints]='1') and [celiac_disease_test_group_no]>=1
celiac_test_type1,prior_testing,,text,1st Celiac disease test type,,,,,,,([celiac_datapoints]='1') and [celiac_disease_test_group_no]>=1
celiac_result_units1,prior_testing,,text,1st Celiac disease test result units,,,,,,,([celiac_datapoints]='1' and ([celiac1]='2' or  [celiac1]='3')) and [celiac_disease_test_group_no]>=1
celiac_result1,prior_testing,,text,1st Celiac disease test result,,,,,,,([celiac_datapoints]='1' and ([celiac1]='2' or  [celiac1]='3')) and [celiac_disease_test_group_no]>=1
celiac_result_normal_range_minimum1,prior_testing,,text,1st Celiac disease test result normal range minimum,,,,,,,([celiac_datapoints]='1' and ([celiac1]='2' or  [celiac1]='3')) and [celiac_disease_test_group_no]>=1
celiac_result_normal_range_maximum1,prior_testing,,text,1st Celiac disease test result normal range maximum,,,,,,,([celiac_datapoints]='1' and ([celiac1]='2' or  [celiac1]='3')) and [celiac_disease_test_group_no]>=1
celiac_location1,prior_testing,,text,Lab where 1st Celiac disease test was performed?,,,,,,,([celiac_datapoints]='1') and [celiac_disease_test_group_no]>=1
celiac_date2,prior_testing,,text,Year of 2nd Celiac disease test,,Please specify four digit year,,,,,([celiac_datapoints]='1') and [celiac_disease_test_group_no]>=2
celiac2,prior_testing,,radio,2nd Celiac disease test result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([celiac_datapoints]='1') and [celiac_disease_test_group_no]>=2
celiac_test_type2,prior_testing,,text,2nd Celiac disease test type,,,,,,,([celiac_datapoints]='1') and [celiac_disease_test_group_no]>=2
celiac_result_units2,prior_testing,,text,2nd Celiac disease test result units,,,,,,,([celiac_datapoints]='1' and ([celiac2]='2' or  [celiac2]='3')) and [celiac_disease_test_group_no]>=2
celiac_result2,prior_testing,,text,2nd Celiac disease test result,,,,,,,([celiac_datapoints]='1' and ([celiac2]='2' or  [celiac2]='3')) and [celiac_disease_test_group_no]>=2
celiac_result_normal_range_minimum2,prior_testing,,text,2nd Celiac disease test result normal range minimum,,,,,,,([celiac_datapoints]='1' and ([celiac2]='2' or  [celiac2]='3')) and [celiac_disease_test_group_no]>=2
celiac_result_normal_range_maximum2,prior_testing,,text,2nd Celiac disease test result normal range maximum,,,,,,,([celiac_datapoints]='1' and ([celiac2]='2' or  [celiac2]='3')) and [celiac_disease_test_group_no]>=2
celiac_location2,prior_testing,,text,Lab where 2nd Celiac disease test was performed?,,,,,,,([celiac_datapoints]='1') and [celiac_disease_test_group_no]>=2
celiac_date3,prior_testing,,text,Year of 3rd Celiac disease test,,Please specify four digit year,,,,,([celiac_datapoints]='1') and [celiac_disease_test_group_no]>=3
celiac3,prior_testing,,radio,3rd Celiac disease test result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([celiac_datapoints]='1') and [celiac_disease_test_group_no]>=3
celiac_test_type3,prior_testing,,text,3rd Celiac disease test type,,,,,,,([celiac_datapoints]='1') and [celiac_disease_test_group_no]>=3
celiac_result_units3,prior_testing,,text,3rd Celiac disease test result units,,,,,,,([celiac_datapoints]='1' and ([celiac3]='2' or  [celiac3]='3')) and [celiac_disease_test_group_no]>=3
celiac_result3,prior_testing,,text,3rd Celiac disease test result,,,,,,,([celiac_datapoints]='1' and ([celiac3]='2' or  [celiac3]='3')) and [celiac_disease_test_group_no]>=3
celiac_result_normal_range_minimum3,prior_testing,,text,3rd Celiac disease test result normal range minimum,,,,,,,([celiac_datapoints]='1' and ([celiac3]='2' or  [celiac3]='3')) and [celiac_disease_test_group_no]>=3
celiac_result_normal_range_maximum3,prior_testing,,text,3rd Celiac disease test result normal range maximum,,,,,,,([celiac_datapoints]='1' and ([celiac3]='2' or  [celiac3]='3')) and [celiac_disease_test_group_no]>=3
celiac_location3,prior_testing,,text,Lab where 3rd Celiac disease test was performed?,,,,,,,([celiac_datapoints]='1') and [celiac_disease_test_group_no]>=3
image_studies_performed,prior_testing,Imaging Studies  ,checkbox,Imaging studies performed,"6, None | 1, MRI | 2, Spectroscopy (MRS) | 3, CT | 4, Ultrasound | 5, Xray | 7, Endoscopy | 8, Unknown/Not documented",,,,,,
mri_group_no,prior_testing,Imaging Studies  -  MRI,text,How many MRIs would you like to enter (up to 5)?,,,,,,,[image_studies_performed(1)] = '1'
mri1_date,prior_testing,,text,Year of 1st MRI,,Please specify four digit year,,,,,([image_studies_performed(1)] = '1') and [mri_group_no]>=1
mri1_body_part,prior_testing,,checkbox,Part of body screened on 1st MRI,"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 8, Temporal Bones | 7, Other",Please enter cardiac MRIs in CMRI Results instrument if the cardiac intake forms will be used.,,,,,([image_studies_performed(1)] = '1') and [mri_group_no]>=1
mri1_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,Please enter cardiac MRIs in CMRI Results instrument if the cardiac intake forms will be used.,,,,,([mri1_body_part(7)]='1') and [mri_group_no]>=1
mri1,prior_testing,,radio,1st MRI result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(1)] = '1') and [mri_group_no]>=1
mri1_temp_bone_features,prior_testing,,checkbox,Temporal bone features,"1, Cochlear Nerve Hypoplasia | 2, EVA | 3, Other",,,,,,([mri1_body_part(8)] = '1' and [mri1] = '2') and [mri_group_no]>=1
mri1_temp_bone_other_features,prior_testing,,notes,Other temporal bone features,,,,,,,([mri1_temp_bone_features(3)] = '1') and [mri_group_no]>=1
mri1_spec,prior_testing,,notes,Specify 1st MRI Result,,,,,,,(([mri1]='2' or [mri1]='3') and ([mri1_body_part(1)]='1' or [mri1_body_part(2)]='1' or [mri1_body_part(3)]='1' or [mri1_body_part(4)]='1' or [mri1_body_part(5)]='1' or [mri1_body_part(6)]='1' or [mri1_body_part(7)]='1')) and [mri_group_no]>=1
mri1_location,prior_testing,,text,Where was 1st MRI performed?,,,,,,,([image_studies_performed(1)] = '1') and [mri_group_no]>=1
mri2_date,prior_testing,,text,Year of 2nd MRI,,Please specify four digit year,,,,,([image_studies_performed(1)] = '1') and [mri_group_no]>=2
mri2_body_part,prior_testing,,checkbox,Part of body screened on 2nd MRI,"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 8, Temporal Bones | 7, Other",Please enter cardiac MRIs in CMRI Results instrument if the cardiac intake forms will be used.,,,,,([image_studies_performed(1)] = '1') and [mri_group_no]>=2
mri2_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,Please enter cardiac MRIs in CMRI Results instrument if the cardiac intake forms will be used.,,,,,([mri2_body_part(7)]='1') and [mri_group_no]>=2
mri2,prior_testing,,radio,2nd MRI result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(1)] = '1') and [mri_group_no]>=2
mri2_temp_bone_features,prior_testing,,checkbox,Temporal bone features,"1, Cochlear Nerve Hypoplasia | 2, EVA | 3, Other",,,,,,([mri2_body_part(8)] = '1' and [mri2] = '2') and [mri_group_no]>=2
mri2_temp_bone_other_features,prior_testing,,notes,Other temporal bone features,,,,,,,([mri2_temp_bone_features(3)] = '1') and [mri_group_no]>=2
mri2_spec,prior_testing,,notes,Specify 2nd MRI Result,,,,,,,(([mri2]='2' or [mri2]='3') and ([mri2_body_part(1)]='1' or [mri2_body_part(2)]='1' or [mri2_body_part(3)]='1' or [mri2_body_part(4)]='1' or [mri2_body_part(5)]='1' or [mri2_body_part(6)]='1' or [mri2_body_part(7)]='1')) and [mri_group_no]>=2
mri2_location,prior_testing,,text,Where was 2nd MRI performed?,,,,,,,([image_studies_performed(1)] = '1') and [mri_group_no]>=2
mri3_date,prior_testing,,text,Year of 3rd MRI,,Please specify four digit year,,,,,([image_studies_performed(1)] = '1') and [mri_group_no]>=3
mri3_body_part,prior_testing,,checkbox,Part of body screened on 3rd MRI,"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 8, Temporal Bones | 7, Other",Please enter cardiac MRIs in CMRI Results instrument if the cardiac intake forms will be used.,,,,,([image_studies_performed(1)] = '1') and [mri_group_no]>=3
mri3_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,Please enter cardiac MRIs in CMRI Results instrument if the cardiac intake forms will be used.,,,,,([mri3_body_part(7)]='1') and [mri_group_no]>=3
mri3,prior_testing,,radio,3rd MRI result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(1)] = '1') and [mri_group_no]>=3
mri3_temp_bone_features,prior_testing,,checkbox,Temporal bone features,"1, Cochlear Nerve Hypoplasia | 2, EVA | 3, Other",,,,,,([mri3_body_part(8)] = '1' and [mri3] = '2') and [mri_group_no]>=3
mri3_temp_bone_other_features,prior_testing,,notes,Other temporal bone features,,,,,,,([mri3_temp_bone_features(3)] = '1') and [mri_group_no]>=3
mri3_spec,prior_testing,,notes,Specify 3rd MRI Result,,,,,,,(([mri3]='2' or [mri3]='3') and ([mri3_body_part(1)]='1' or [mri3_body_part(2)]='1' or [mri3_body_part(3)]='1' or [mri3_body_part(4)]='1' or [mri3_body_part(5)]='1' or [mri3_body_part(6)]='1' or [mri3_body_part(7)]='1')) and [mri_group_no]>=3
mri3_location,prior_testing,,text,Where was 3rd MRI performed?,,,,,,,([image_studies_performed(1)] = '1') and [mri_group_no]>=3
mri4_date,prior_testing,,text,Year of 4th MRI,,Please specify four digit year,,,,,([image_studies_performed(1)] = '1') and [mri_group_no]>=4
mri4_body_part,prior_testing,,checkbox,Part of body screened on 4th MRI,"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 8, Temporal Bones | 7, Other",Please enter cardiac MRIs in CMRI Results instrument if the cardiac intake forms will be used.,,,,,([image_studies_performed(1)] = '1') and [mri_group_no]>=4
mri4_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,Please enter cardiac MRIs in CMRI Results instrument if the cardiac intake forms will be used.,,,,,([mri4_body_part(7)]='1') and [mri_group_no]>=4
mri4,prior_testing,,radio,4th MRI result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(1)] = '1') and [mri_group_no]>=4
mri4_temp_bone_features,prior_testing,,checkbox,Temporal bone features,"1, Cochlear Nerve Hypoplasia | 2, EVA | 3, Other",,,,,,([mri4_body_part(8)] = '1' and [mri4] = '2') and [mri_group_no]>=4
mri4_temp_bone_other_features,prior_testing,,notes,Other temporal bone features,,,,,,,([mri4_temp_bone_features(3)] = '1') and [mri_group_no]>=4
mri4_spec,prior_testing,,notes,Specify 4th MRI Result,,,,,,,(([mri4]='2' or [mri4]='3') and ([mri4_body_part(1)]='1' or [mri4_body_part(2)]='1' or [mri4_body_part(3)]='1' or [mri4_body_part(4)]='1' or [mri4_body_part(5)]='1' or [mri4_body_part(6)]='1' or [mri4_body_part(7)]='1')) and [mri_group_no]>=4
mri4_location,prior_testing,,text,Where was 4th MRI performed?,,,,,,,([image_studies_performed(1)] = '1') and [mri_group_no]>=4
mri5_date,prior_testing,,text,Year of 5th MRI,,Please specify four digit year,,,,,([image_studies_performed(1)] = '1') and [mri_group_no]>=5
mri5_body_part,prior_testing,,checkbox,Part of body screened on 5th MRI,"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 8, Temporal Bones | 7, Other",Please enter cardiac MRIs in CMRI Results instrument if the cardiac intake forms will be used.,,,,,([image_studies_performed(1)] = '1') and [mri_group_no]>=5
mri5_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,Please enter cardiac MRIs in CMRI Results instrument if the cardiac intake forms will be used.,,,,,([mri5_body_part(7)]='1') and [mri_group_no]>=5
mri5,prior_testing,,radio,5th MRI result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(1)] = '1') and [mri_group_no]>=5
mri5_temp_bone_features,prior_testing,,checkbox,Temporal bone features,"1, Cochlear Nerve Hypoplasia | 2, EVA | 3, Other",,,,,,([mri5_body_part(8)] = '1' and [mri5] = '2') and [mri_group_no]>=5
mri5_temp_bone_other_features,prior_testing,,notes,Other temporal bone features,,,,,,,([mri5_temp_bone_features(3)] = '1') and [mri_group_no]>=5
mri5_spec,prior_testing,,notes,Specify 5th MRI Result,,,,,,,(([mri5]='2' or [mri5]='3') and ([mri5_body_part(1)]='1' or [mri5_body_part(2)]='1' or [mri5_body_part(3)]='1' or [mri5_body_part(4)]='1' or [mri5_body_part(5)]='1' or [mri5_body_part(6)]='1' or [mri5_body_part(7)]='1')) and [mri_group_no]>=5
mri5_location,prior_testing,,text,Where was 5th MRI performed?,,,,,,,([image_studies_performed(1)] = '1') and [mri_group_no]>=5
brain_spectroscopy__mrs__group_no,prior_testing,Imaging Studies  - MRS,text,How many brain spectroscopies (MRS) would you like to enter (up to 5)?,,,,,,,[image_studies_performed(2)] = '1'
mrs1_date,prior_testing,,text,Year of 1st spectroscopy (MRS),,Please specify four digit year,,,,,([image_studies_performed(2)] = '1') and [brain_spectroscopy__mrs__group_no]>=1
mrs1_body_part,prior_testing,,checkbox,Part of body screened on 1st spectroscopy  (MRS),"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 7, Other",,,,,,([image_studies_performed(2)] = '1') and [brain_spectroscopy__mrs__group_no]>=1
mrs1_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,,,,,,([mrs1_body_part(7)]='1') and [brain_spectroscopy__mrs__group_no]>=1
mrs1,prior_testing,,radio,1st spectroscopy (MRS) result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(2)] = '1') and [brain_spectroscopy__mrs__group_no]>=1
mrs1_spec,prior_testing,,notes,Specify 1st spectroscopy (MRS) result,,,,,,,([mrs1]='2' or  [mrs1]='3') and [brain_spectroscopy__mrs__group_no]>=1
mrs1_location,prior_testing,,text,Where was 1st spectroscopy (MRS) performed?,,,,,,,([image_studies_performed(2)] = '1') and [brain_spectroscopy__mrs__group_no]>=1
mrs2_date,prior_testing,,text,Year of 2nd spectroscopy (MRS),,Please specify four digit year,,,,,([image_studies_performed(2)] = '1') and [brain_spectroscopy__mrs__group_no]>=2
mrs2_body_part,prior_testing,,checkbox,Part of body screened on 2nd spectroscopy  (MRS),"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 7, Other",,,,,,([image_studies_performed(2)] = '1') and [brain_spectroscopy__mrs__group_no]>=2
mrs2_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,,,,,,([mrs2_body_part(7)]='1') and [brain_spectroscopy__mrs__group_no]>=2
mrs2,prior_testing,,radio,2nd spectroscopy (MRS) result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(2)] = '1') and [brain_spectroscopy__mrs__group_no]>=2
mrs2_spec,prior_testing,,notes,Specify 2nd spectroscopy (MRS) result,,,,,,,([mrs2]='2' or  [mrs2]='3') and [brain_spectroscopy__mrs__group_no]>=2
mrs2_location,prior_testing,,text,Where was 2nd spectroscopy (MRS) performed?,,,,,,,([image_studies_performed(2)] = '1') and [brain_spectroscopy__mrs__group_no]>=2
mrs3_date,prior_testing,,text,Year of 3rd spectroscopy (MRS),,Please specify four digit year,,,,,([image_studies_performed(2)] = '1') and [brain_spectroscopy__mrs__group_no]>=3
mrs3_body_part,prior_testing,,checkbox,Part of body screened on 3rd spectroscopy  (MRS),"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 7, Other",,,,,,([image_studies_performed(2)] = '1') and [brain_spectroscopy__mrs__group_no]>=3
mrs3_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,,,,,,([mrs3_body_part(7)]='1') and [brain_spectroscopy__mrs__group_no]>=3
mrs3,prior_testing,,radio,3rd spectroscopy (MRS) result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(2)] = '1') and [brain_spectroscopy__mrs__group_no]>=3
mrs3_spec,prior_testing,,notes,Specify 3rd spectroscopy (MRS) result,,,,,,,([mrs3]='2' or  [mrs3]='3') and [brain_spectroscopy__mrs__group_no]>=3
mrs3_location,prior_testing,,text,Where was 3rd spectroscopy (MRS) performed?,,,,,,,([image_studies_performed(2)] = '1') and [brain_spectroscopy__mrs__group_no]>=3
mrs4_date,prior_testing,,text,Year of 4th spectroscopy (MRS),,Please specify four digit year,,,,,([image_studies_performed(2)] = '1') and [brain_spectroscopy__mrs__group_no]>=4
mrs4_body_part,prior_testing,,checkbox,Part of body screened on 4th spectroscopy  (MRS),"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 7, Other",,,,,,([image_studies_performed(2)] = '1') and [brain_spectroscopy__mrs__group_no]>=4
mrs4_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,,,,,,([mrs4_body_part(7)]='1') and [brain_spectroscopy__mrs__group_no]>=4
mrs4,prior_testing,,radio,4th spectroscopy (MRS) result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(2)] = '1') and [brain_spectroscopy__mrs__group_no]>=4
mrs4_spec,prior_testing,,notes,Specify 4th spectroscopy (MRS) result,,,,,,,([mrs4]='2' or  [mrs4]='3') and [brain_spectroscopy__mrs__group_no]>=4
mrs4_location,prior_testing,,text,Where was 4th spectroscopy (MRS) performed?,,,,,,,([image_studies_performed(2)] = '1') and [brain_spectroscopy__mrs__group_no]>=4
mrs5_date,prior_testing,,text,Year of 5th spectroscopy (MRS),,Please specify four digit year,,,,,([image_studies_performed(2)] = '1') and [brain_spectroscopy__mrs__group_no]>=5
mrs5_body_part,prior_testing,,checkbox,Part of body screened on 5th spectroscopy  (MRS),"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 7, Other",,,,,,([image_studies_performed(2)] = '1') and [brain_spectroscopy__mrs__group_no]>=5
mrs5_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,,,,,,([mrs5_body_part(7)]='1') and [brain_spectroscopy__mrs__group_no]>=5
mrs5,prior_testing,,radio,5th spectroscopy (MRS) result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(2)] = '1') and [brain_spectroscopy__mrs__group_no]>=5
mrs5_spec,prior_testing,,notes,Specify 5th spectroscopy (MRS) result,,,,,,,([mrs5]='2' or  [mrs5]='3') and [brain_spectroscopy__mrs__group_no]>=5
mrs5_location,prior_testing,,text,Where was 5th spectroscopy (MRS) performed?,,,,,,,([image_studies_performed(2)] = '1') and [brain_spectroscopy__mrs__group_no]>=5
ct_group_no,prior_testing,Imaging Studies  - CT,text,How many CTs would you like to enter (up to 5)?,,,,,,,[image_studies_performed(3)] = '1'
ct1_date,prior_testing,,text,Year of 1st CT,,Please specify four digit year,,,,,([image_studies_performed(3)] = '1') and [ct_group_no]>=1
ct1_body_part,prior_testing,,checkbox,Part of body screened on 1st CT,"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 8, Temporal Bones | 7, Other",,,,,,([image_studies_performed(3)] = '1') and [ct_group_no]>=1
ct1_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,,,,,,([ct1_body_part(7)]='1') and [ct_group_no]>=1
ct1,prior_testing,,radio,1st CT result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(3)] = '1') and [ct_group_no]>=1
ct1_temp_bone_features,prior_testing,,checkbox,Temporal bone features,"1, Cochlear Nerve Hypoplasia | 2, EVA | 3, Other",,,,,,([ct1_body_part(8)] = '1' and [ct1]= '2') and [ct_group_no]>=1
ct1_temp_bone_other_features,prior_testing,,notes,Other temporal bone features,,,,,,,([ct1_temp_bone_features(3)] = '1') and [ct_group_no]>=1
ct1_spec,prior_testing,,notes,Specify 1st CT result,,,,,,,(([ct1]='2' or  [ct1]='3') and ([ct1_body_part(1)]='1' or [ct1_body_part(2)]='1' or [ct1_body_part(3)]='1' or [ct1_body_part(4)]='1' or [ct1_body_part(5)]='1' or [ct1_body_part(6)]='1' or [ct1_body_part(7)]='1')) and [ct_group_no]>=1
ct1_location,prior_testing,,text,Where was 1st CT performed?,,,,,,,([image_studies_performed(3)] = '1') and [ct_group_no]>=1
ct2_date,prior_testing,,text,Year of 2nd CT,,Please specify four digit year,,,,,([image_studies_performed(3)] = '1') and [ct_group_no]>=2
ct2_body_part,prior_testing,,checkbox,Part of body screened on 2nd CT,"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 8, Temporal Bones | 7, Other",,,,,,([image_studies_performed(3)] = '1') and [ct_group_no]>=2
ct2_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,,,,,,([ct2_body_part(7)]='1') and [ct_group_no]>=2
ct2,prior_testing,,radio,2nd CT result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(3)] = '1') and [ct_group_no]>=2
ct2_temp_bone_features,prior_testing,,checkbox,Temporal bone features,"1, Cochlear Nerve Hypoplasia | 2, EVA | 3, Other",,,,,,([ct2_body_part(8)] = '1' and [ct2]= '2') and [ct_group_no]>=2
ct2_temp_bone_other_features,prior_testing,,notes,Other temporal bone features,,,,,,,([ct2_temp_bone_features(3)] = '1') and [ct_group_no]>=2
ct2_spec,prior_testing,,notes,Specify 2nd CT result,,,,,,,(([ct2]='2' or  [ct2]='3') and ([ct2_body_part(1)]='1' or [ct2_body_part(2)]='1' or [ct2_body_part(3)]='1' or [ct2_body_part(4)]='1' or [ct2_body_part(5)]='1' or [ct2_body_part(6)]='1' or [ct2_body_part(7)]='1')) and [ct_group_no]>=2
ct2_location,prior_testing,,text,Where was 2nd CT performed?,,,,,,,([image_studies_performed(3)] = '1') and [ct_group_no]>=2
ct3_date,prior_testing,,text,Year of 3rd CT,,Please specify four digit year,,,,,([image_studies_performed(3)] = '1') and [ct_group_no]>=3
ct3_body_part,prior_testing,,checkbox,Part of body screened on 3rd CT,"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 8, Temporal Bones | 7, Other",,,,,,([image_studies_performed(3)] = '1') and [ct_group_no]>=3
ct3_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,,,,,,([ct3_body_part(7)]='1') and [ct_group_no]>=3
ct3,prior_testing,,radio,3rd CT result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(3)] = '1') and [ct_group_no]>=3
ct3_temp_bone_features,prior_testing,,checkbox,Temporal bone features,"1, Cochlear Nerve Hypoplasia | 2, EVA | 3, Other",,,,,,([ct3_body_part(8)] = '1' and [ct3]= '2') and [ct_group_no]>=3
ct3_temp_bone_other_features,prior_testing,,notes,Other temporal bone features,,,,,,,([ct3_temp_bone_features(3)] = '1') and [ct_group_no]>=3
ct3_spec,prior_testing,,notes,Specify 3rd CT result,,,,,,,(([ct3]='2' or  [ct3]='3') and ([ct3_body_part(1)]='1' or [ct3_body_part(2)]='1' or [ct3_body_part(3)]='1' or [ct3_body_part(4)]='1' or [ct3_body_part(5)]='1' or [ct3_body_part(6)]='1' or [ct3_body_part(7)]='1')) and [ct_group_no]>=3
ct3_location,prior_testing,,text,Where was 3rd CT performed?,,,,,,,([image_studies_performed(3)] = '1') and [ct_group_no]>=3
ct4_date,prior_testing,,text,Year of 4th CT,,Please specify four digit year,,,,,([image_studies_performed(3)] = '1') and [ct_group_no]>=4
ct4_body_part,prior_testing,,checkbox,Part of body screened on 4th CT,"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 8, Temporal Bones | 7, Other",,,,,,([image_studies_performed(3)] = '1') and [ct_group_no]>=4
ct4_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,,,,,,([ct4_body_part(7)]='1') and [ct_group_no]>=4
ct4,prior_testing,,radio,4th CT result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(3)] = '1') and [ct_group_no]>=4
ct4_temp_bone_features,prior_testing,,checkbox,Temporal bone features,"1, Cochlear Nerve Hypoplasia | 2, EVA | 3, Other",,,,,,([ct4_body_part(8)] = '1' and [ct4]= '2') and [ct_group_no]>=4
ct4_temp_bone_other_features,prior_testing,,notes,Other temporal bone features,,,,,,,([ct4_temp_bone_features(3)] = '1') and [ct_group_no]>=4
ct4_spec,prior_testing,,notes,Specify 4th CT result,,,,,,,(([ct4]='2' or  [ct4]='3') and ([ct4_body_part(1)]='1' or [ct4_body_part(2)]='1' or [ct4_body_part(3)]='1' or [ct4_body_part(4)]='1' or [ct4_body_part(5)]='1' or [ct4_body_part(6)]='1' or [ct4_body_part(7)]='1')) and [ct_group_no]>=4
ct4_location,prior_testing,,text,Where was 4th CT performed?,,,,,,,([image_studies_performed(3)] = '1') and [ct_group_no]>=4
ct5_date,prior_testing,,text,Year of 5th CT,,Please specify four digit year,,,,,([image_studies_performed(3)] = '1') and [ct_group_no]>=5
ct5_body_part,prior_testing,,checkbox,Part of body screened on 5th CT,"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 8, Temporal Bones | 7, Other",,,,,,([image_studies_performed(3)] = '1') and [ct_group_no]>=5
ct5_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,,,,,,([ct5_body_part(7)]='1') and [ct_group_no]>=5
ct5,prior_testing,,radio,5th CT result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(3)] = '1') and [ct_group_no]>=5
ct5_temp_bone_features,prior_testing,,checkbox,Temporal bone features,"1, Cochlear Nerve Hypoplasia | 2, EVA | 3, Other",,,,,,([ct5_body_part(8)] = '1' and [ct5]= '2') and [ct_group_no]>=5
ct5_temp_bone_other_features,prior_testing,,notes,Other temporal bone features,,,,,,,([ct5_temp_bone_features(3)] = '1') and [ct_group_no]>=5
